"name","status","lead","created_at","last_edited_at","area","themes","tags"
"10x10 Community Capital Leadership Retreat","","","2025-09-07T23:01:00.000Z","2025-09-24T02:53:00.000Z","","",""
"A Curious Tractor Conservation Collective (ACT-CC)","Internal","Nicholas Marchesi","2025-05-16T05:28:00.000Z","2025-09-10T02:53:00.000Z","Decentralised Power","Storytelling; Economic Freedom; Health and wellbeing","Storytelling; Health; Living"
"ACT business set up","Internal","Benjamin Knight","2025-05-31T00:50:00.000Z","2025-09-10T02:53:00.000Z","Decentralised Power","Economic Freedom","Collaboration; Storytelling"
"ACT Notion / Tool Audit {Farm Plan} ","Ideation 🌀","Nicholas Marchesi","2025-06-13T21:51:00.000Z","2025-09-10T02:53:00.000Z","Creativity","Operations",""
"ACT stop, revive, thrive in Bali","Active 🔥","Benjamin Knight","2025-10-21T18:51:00.000Z","2025-10-24T06:49:00.000Z","Decentralised Power","Operations",""
"Active Projects Overview 🌱","","","2025-09-28T07:18:00.000Z","2025-09-28T07:31:00.000Z","","",""
"AIME","Transferred ✅","Benjamin Knight","2025-04-19T01:28:00.000Z","2025-09-10T02:53:00.000Z","Radical Humility","Indigenous; Global community","Collaboration; Storytelling"
"Barkly Backbone","Ideation 🌀","Benjamin Knight","2025-07-07T03:33:00.000Z","2025-09-10T02:53:00.000Z","Truth-Telling","Storytelling",""
"BCV Reforest ","Ideation 🌀","Nicholas Marchesi","2025-02-18T10:27:00.000Z","2025-09-10T02:53:00.000Z","Creativity","Health and wellbeing","Health; Living; Connected"
"BCV: Regenerative Conservation","Ideation 🌀","Benjamin Knight","2025-05-10T10:12:00.000Z","2025-09-10T02:54:00.000Z","Decentralised Power","Health and wellbeing",""
"BG Fit","Active 🔥","Benjamin Knight","2025-02-03T21:54:00.000Z","2025-09-10T02:53:00.000Z","Decentralised Power","Youth Justice","Empathy Ledger; Health; justice"
"Bimberi - Holiday Programs","Ideation 🌀","Benjamin Knight","2025-02-03T21:53:00.000Z","2025-09-10T02:54:00.000Z","Truth-Telling","Youth Justice","Collaboration; Storytelling"
"Contained","Active 🔥","Benjamin Knight","2025-07-06T23:34:00.000Z","2025-09-18T01:54:00.000Z","Truth-Telling","Youth Justice",""
