,Name,Title/Role,Organization,Sector/Type,Location,Relevance to CONX Campaign,Public Contact Info
0,Justin Stevens,"Former EP, 7.30; ABC News Director",ABC,Media/Exec,"Sydney, NSW","Former EP of 7.30, now ABC News Director; senior contact for justice coverage.",via ABC News
1,Morag Ramsay,"Executive Producer, Four Corners",ABC,Media/Exec,"Sydney, NSW",Leads commissioning of Four Corners; long-form investigations on justice issues.,via ABC
2,RN Breakfast EP,Executive Producer,ABC Radio National,Media/Producer,"Sydney, NSW",Books guests for RN Breakfast; critical gatekeeper for launch week interviews.,via ABC RN
3,Hack EP,Executive Producer,triple j Hack (ABC),Media/Producer,"Sydney, NSW",Leads youth current affairs content; strong link to app adoption.,via ABC
4,The Point Producers,Producers,NITV / SBS,Media/Producer,"Sydney, NSW",Producers for The Point; Indigenous-led current affairs.,via SBS/NITV
5,Background Briefing EP,Executive Producer,ABC Radio National,Media/Producer,"Sydney, NSW",Oversees investigative audio program; systemic reform stories.,via ABC RN
6,Cassie McCullagh,"Host, Mornings",ABC Sydney,Media (Regional),"Sydney, NSW",Host of Sydney ABC Mornings; local justice coverage.,via ABC
7,Simon Marnie,"Host, Weekends",ABC Sydney,Media (Regional),"Sydney, NSW",Host of Sydney ABC Weekends; influential community program.,via ABC
8,ABC Newcastle Breakfast,Breakfast Show Team,ABC Newcastle,Media (Regional),"Newcastle, NSW",Local ABC program; important for Hunter region justice issues.,via ABC
9,ABC Western Sydney,Breakfast Show Team,ABC Western Sydney,Media (Regional),"Western Sydney, NSW",Community-focused outlet reaching Western Sydney families and policymakers.,via ABC
10,Robert Ingram,CEO,Koori Radio 93.7FM / Gadigal Info Service,Media (First Nations),"Sydney, NSW",Leads Sydney’s Aboriginal community radio station; vital partner for lived-experience storytelling.,kooriradio.com.au
11,Newcastle Herald Editor,Editor,Newcastle Herald,Media (Regional Print),"Newcastle, NSW",Covers justice and community stories in Newcastle region.,newcastleherald.com.au
12,Illawarra Mercury Editor,Editor,Illawarra Mercury,Media (Regional Print),"Wollongong, NSW",Covers justice and community issues in Illawarra region.,illawarramercury.com.au
26,Anastasia Cammaroto,Head of Foundation,Atlassian Foundation,Corporate/Philanthropy,"Sydney, NSW",Atlassian’s foundation invests in youth and systems change; aligns with CONX digital-first reintegration.,foundation@atlassian.com
27,Jenni Hicks,Head of Social Impact,Canva Foundation,Corporate/Philanthropy,"Sydney, NSW","Leads Canva’s philanthropic arm; focus on youth creativity, education and storytelling.",via Canva
28,Jack Smyth,Head of Innovation & Impact,Telstra Foundation,Corporate/Philanthropy,"Sydney, NSW",Focus on digital inclusion and Indigenous youth programs; strong fit for CONX.,telstrafoundation@team.telstra.com
29,Lucinda Longcroft,"Director, Government Affairs & Public Policy",Google Australia,Corporate,"Sydney, NSW",Google supports digital skills and Indigenous-led innovation; potential partner in scaling CONX.,google.com.au/contact
30,Lee Hickin,"CTO, Microsoft Australia",Microsoft Australia,Corporate,"Sydney, NSW",Microsoft supports AI for Good and Indigenous digital inclusion; partnership for CONX scale.,via Microsoft
31,Susan Bannigan,CEO,Westpac Foundation,Corporate/Philanthropy,"Sydney, NSW",Invests in social enterprises and Indigenous initiatives; major CSR funder for CONX.,westpacfoundation@westpac.com.au
32,Kylie Macfarlane,"GM, Sustainability & Community",Commonwealth Bank of Australia,Corporate,"Sydney, NSW",CBA supports Indigenous engagement and community programs; aligns with CONX reintegration outcomes.,via CBA
33,NAB Foundation CEO,Foundation Lead,National Australia Bank,Corporate/Philanthropy,"Melbourne, VIC",NAB Foundation funds resilience and youth programs; possible CONX support.,nabfoundation@nab.com.au
34,Jason Ardler PSM,Co-CEO,PwC Indigenous Consulting,Corporate,"Sydney, NSW",PwC IC advises on justice reform and Indigenous leadership; key partner for credibility and funding.,via PwC
35,Andrew Dempster,"Director, Human Rights & Social Impact (Banarra)",KPMG Australia,Corporate,"Sydney, NSW",KPMG Banarra leads social impact consulting; bridge to corporate funders and justice projects.,via KPMG
36,Kristy Muir,CEO,Paul Ramsay Foundation,Philanthropy,"Sydney, NSW","Australia’s largest foundation, invests in cycles-of-disadvantage reforms including justice.",info@paulramsayfoundation.org.au
37,Hamish Balnaves,CEO,Balnaves Foundation,Philanthropy,"Sydney, NSW",Philanthropy prioritising young people and Indigenous Australia.,info@balnavesfoundation.com
38,Suzie Riddell,CEO,Social Ventures Australia,Philanthropy/Impact,"Sydney, NSW",Leads social innovation and impact investment; can support CONX scaling.,info@socialventures.com.au
39,Lisa George,Global Head,Macquarie Group Foundation,Philanthropy/Corporate,"Sydney, NSW",Macquarie backs scalable social innovation with corporate CSR.,foundation@macquarie.com
