Category,Name,Title/Role,Relevance/How They Can Support
Politician,Laura Gerber,QLD Minister for Youth Justice and Victim Support (also Minister for Corrective Services),"As the state minister responsible for youth justice, she can directly influence reforms and champion initiatives for rehabilitating youth."
Politician,Amanda Camm,QLD Minister for Child Safety and Prevention of Domestic and Family Violence,Oversees child protection and wellbeing; her support can ensure at-risk youth receive the care and intervention needed to keep them out of the justice system.
Politician,Fiona Simpson,QLD Minister for Aboriginal and Torres Strait Islander Partnerships (and Multiculturalism),Key figure in Aboriginal affairs; can advocate for culturally appropriate youth justice approaches to reduce Indigenous overrepresentation in the system.
Politician,Michael Berkman,Greens MP (Queensland Parliament) and justice reform advocate,"Outspoken critic of punitive youth law changes; highlights human rights concerns and pushes for evidence-based approaches (e.g. opposing “adult crime, adult time” laws)."
Judge/Magistrate,Hylton Quail,"President, Children’s Court of WA",Condemned harsh conditions in youth detention (Banksia Hill) and has used his platform to demand better treatment and reform for detained youth.
Judge/Magistrate,Denis Reynolds,"Former President, Children’s Court of WA (retired)","Veteran judge who described WA’s youth detention conditions as “child abuse,” urging a Royal Commission into juvenile justice failings."
Judge/Magistrate,John Robertson,"Former President, Children’s Court of QLD; Chair, Sentencing Advisory Council (Qld)","Publicly refutes the idea of a youth crime wave and warns that over-punitive reactions will only criminalise more kids – he advocates for evidence-based, rehabilitative reforms."
Judge/Magistrate,Peter Johnstone,"President, Children’s Court of NSW",Proponent of restorative justice for Indigenous youth; led efforts to expand the Youth Koori Court to better rehabilitate Aboriginal young offenders through culturally adapted practices.
Lived-Experience Advocate,Keenan Mundine,"Co-founder, Inside Out Aboriginal Justice Consultancy; former youth prisoner",Draws on his incarceration as a youth to champion community-led solutions and justice reinvestment; even took his advocacy to the United Nations to urge better treatment of Indigenous youth.
Lived-Experience Advocate,Dylan Voller,Youth justice advocate; former detainee at Don Dale (NT),"Became the face of abuse in youth detention after a 2016 exposé – now actively speaks out for reform, including raising the age of criminal responsibility and improving detention conditions."
Lived-Experience Advocate,Dujuan Hoosan,Aboriginal youth advocate from NT (featured in In My Blood It Runs),"At just 12, he addressed the UN Human Rights Council urging Australia to raise the age of criminal responsibility from 10 to 14, sharing a child’s perspective on harsh justice policies."
Philanthropic Leader,Nicola Forrest,"Co-founder & Co-Chair, Minderoo Foundation","Leads major philanthropic investments in early childhood and youth programs (e.g. the Thrive by Five initiative), aiming to tackle root causes of youth offending through prevention and community support."
Philanthropic Leader,Professor Kristy Muir,"CEO, Paul Ramsay Foundation",Heads one of Australia’s largest philanthropic funds focused on breaking cycles of disadvantage; supports innovative initiatives (like justice reinvestment projects) to keep young people out of prison.
Philanthropic Leader,Matthew Cox,"Executive Director, The Bryan Foundation (Queensland)",Guides significant philanthropic support for young Queenslanders’ education and wellbeing; drives place-based partnerships to address factors that contribute to youth offending.
