ACT Goods Project - Cashflow Projection FY26
Period: July 2025 - June 2026

PROJECTED INCOME - FY26
Revenue Source,Q1 (Jul-Sep),Q2 (Oct-Dec),Q3 (Jan-Mar),Q4 (Apr-Jun),FY26 Total
Snow Foundation Grants,25000,25000,25000,25000,100000
The Funding Network,50000,25000,50000,25000,150000
Other Sources (various grants),60000,65000,70000,65000,260000
Equipment Sales Revenue (projected),5000,8000,12000,15000,40000
TOTAL PROJECTED INCOME,140000,123000,157000,130000,550000

PROJECTED EXPENSES - FY26
Expense Category,Q1 (Jul-Sep),Q2 (Oct-Dec),Q3 (Jan-Mar),Q4 (Apr-Jun),FY26 Total
Equipment - Washing Machines (40 additional),40000,40000,40000,40000,160000
Equipment - Beds (300 additional),27750,27750,27750,27750,111000
Installation & Travel Costs,8000,10000,12000,15000,45000
Wages & Labor (ongoing),50000,50000,50000,50000,200000
Materials & Supplies,5000,6000,7000,8000,26000
Administrative & Overhead,8000,8000,8000,8000,32000
TOTAL PROJECTED EXPENSES,138750,141750,144750,141750,567000

NET CASHFLOW PROJECTION - FY26
Cashflow Item,Q1 (Jul-Sep),Q2 (Oct-Dec),Q3 (Jan-Mar),Q4 (Apr-Jun),FY26 Total
Total Income,140000,123000,157000,130000,550000
Total Expenses,-138750,-141750,-144750,-141750,-567000
NET CASHFLOW,1250,-18750,12250,-11750,-17000
Opening Cash Balance,45000,46250,27500,39750,45000
CLOSING CASH BALANCE,46250,27500,39750,28000,28000

Key Assumptions:
- Snow Foundation maintains funding commitment at current levels
- Successful applications for additional AMP and new foundation grants
- Revenue generation from equipment sales begins Q1 and scales up
- Expansion to 40 additional washing machines and 300 beds as per Snow Foundation application
- Conservative growth projections based on current market conditions
Generated: August 2025
