,Name,Title/Role,Organization,Sector/Type,Location,Relevance to CONX Campaign,Public Contact Info
0,Joe Kwon,CEO & Founder,ConFit Pathways,Campaign Leader,"Sydney, NSW",Founder with lived experience; central face of CON|X launch and campaign.,Public contact via ConFit Pathways
1,Georgia Falzon,Director of Ops & Digital Transformation,Raphael Rowe Foundation,Campaign Leader,Sydney / London,CON|X co-founder; drives digital innovation and partnerships.,Public contact via Raphael Rowe Foundation
2,David Cant,Program Manager,The Edward Alexander Foundation (TEAF),Campaign Partner,"Sydney, NSW",Philanthropy/corporate background; connects business to justice reform.,Public contact via TEAF
3,Dr Baz Dreisinger,Founder & Executive Director,Incarceration Nations Network,Global Expert,"New York, USA",Internationally renowned reform leader; keynote speaker at CON|X launch.,Public contact via INN
4,Renuka “Ren” Fernando,Co-Founder,ReLove,Civil Society,"Sydney, NSW",Social entrepreneur; provides housing/furnishings for people rebuilding after crisis.,Public contact via ReLove
5,Ben Stammer,Co-Founder,ReLove,Civil Society,"Sydney, NSW",Co-founder; ex-corporate executive leveraging networks for social impact.,Public contact via ReLove
6,Lorena Allam,Professor; former Indigenous Affairs Editor,UTS Jumbunna / ex-Guardian Australia,Media,"Sydney, NSW",Influential Indigenous affairs journalist amplifying youth justice and First Nations voices.,Twitter/X @LorenaAllam
7,Caro Meldrum-Hanna,Investigative Journalist,ABC Four Corners,Media,"Sydney, NSW","Broke Don Dale abuse story; credible, impactful reporting on youth detention.",Via ABC Four Corners
8,Stan Grant,Journalist & Commentator,Charles Sturt University / ex-ABC,Media,"Sydney, NSW",High-profile Indigenous commentator; amplifies national justice narratives.,Via CSU profile
9,Patricia Karvelas,Broadcaster; Host RN Breakfast,ABC,Media,"Melbourne, VIC",National voice on politics/social reform with broad reach.,Twitter/X @PatsKarvelas
10,Karla Grant,"Presenter & EP, Living Black",SBS / NITV,Media,"Sydney, NSW",Veteran Indigenous journalist; focuses on First Nations justice issues.,Via SBS/NITV Media Centre
11,Nick McKenzie,Investigations Journalist,The Age / 60 Minutes,Media,"Melbourne, VIC",High-impact investigative reporting; potential to elevate systemic stories.,Via Nine Media
12,Adele Ferguson,Investigative Journalist,SMH / The Age,Media,"Sydney, NSW",Business/governance exposés; can connect funding accountability to reform.,Via Nine Media
13,Rick Morton,Senior Reporter,The Saturday Paper,Media,"Sydney, NSW",Covers social policy and disadvantage; strong narrative storytelling.,Via The Saturday Paper
14,Laura Murphy-Oates,Host/Journalist,Guardian Australia,Media,"Sydney, NSW",Covers justice and Indigenous issues; podcast and youth audiences.,Via Guardian Australia
15,Hamish Macdonald,Broadcaster,ABC,Media,"Sydney, NSW",Recognised interviewer; strong for primetime awareness.,Via ABC
